Source,Key,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7
table_1,25H2,General Availability Channel,2025-09-30,2027-10-12,2028-10-10,,2025-09-30,26200.6584
table_1,24H2,General Availability Channel,2024-10-01,2026-10-13,2027-10-12,2025-09 D,2025-09-29,26100.6725
table_1,23H2,General Availability Channel,2023-10-31,2025-11-11,2026-11-10,2025-09 D,2025-09-23,22631.5984
table_1,22H2,General Availability Channel,2022-09-20,End of servicing,2025-10-14,2025-09 B,2025-09-09,22621.5909
table_2,24H21,Long-Term Servicing Channel (LTSC),2024-10-01,2029-10-09,2034-10-10,2025-09 D,2025-09-29,26100.6725
table_3,General Availability Channel,,2025-09-30,26200.6584,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_4,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_5,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_6,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_7,,,,,,,,
table_8,October,2025.10 B,Baseline (Restart),,,,,
table_8,November,2025.11 B,Hotpatch,,,,,
table_8,December,2025.12 B,Hotpatch,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_9,,,,,,,,
table_10,,,,,,,,
table_10,,,,,,,,
